TIME,Last Time and Sales,CA Bid,CA LTP,CA LTQ,CA Ask,CA Bid Qty,CA Ask Qty,HG Bid,HG LTP,HG LTQ,HG Ask,HG Bid Qty,HG Ask Qty,TF,CHINA,USD JPY,CNY JPY,,,,,,,,,,,
15:10:52,3:10:52 PM,13471.00,13472,1.0000,13476.0000,9.0000,11.00,6114.0000,6115.0000,11.00,6115.00,45.00,32.0,,,,,,,,,,,,,,,
15:10:51,3:10:51 PM,13471.00,13472,1.0000,13476.0000,9.0000,11.00,6114.0000,6115.0000,11.00,6115.00,44.00,32.0,,,,,,,,,,,,,,,
15:10:50,3:10:49 PM,13471.00,13472,1.0000,13476.0000,8.0000,11.00,6114.0000,6115.0000,11.00,6115.00,45.00,32.0,,,,,,,,,,,,,,,
15:10:49,3:10:49 PM,13471.00,13472,1.0000,13476.0000,8.0000,11.00,6114.0000,6115.0000,11.00,6115.00,45.00,32.0,,,,,,,,,,,,,,,
15:10:48,3:10:47 PM,13471.00,13472,1.0000,13476.0000,8.0000,13.00,6114.0000,6114.0000,13.00,6115.00,42.00,28.0,,,,,,,,,,,,,,,
15:10:47,3:10:47 PM,13471.00,13472,1.0000,13476.0000,8.0000,13.00,6114.0000,6114.0000,13.00,6115.00,41.00,28.0,,,,,,,,,,,,,,,
15:10:46,3:10:46 PM,13471.00,13472,1.0000,13476.0000,7.0000,13.00,6114.0000,6114.0000,13.00,6115.00,37.00,32.0,,,,,,,,,,,,,,,
15:10:46,3:10:45 PM,13471.00,13472,1.0000,13476.0000,7.0000,13.00,6114.0000,6114.0000,13.00,6115.00,37.00,32.0,,,,,,,,,,,,,,,
15:10:44,3:10:43 PM,13471.00,13472,1.0000,13476.0000,7.0000,13.00,6114.0000,6114.0000,13.00,6115.00,35.00,33.0,,,,,,,,,,,,,,,
15:10:43,3:10:43 PM,13471.00,13472,1.0000,13476.0000,7.0000,13.00,6114.0000,6114.0000,13.00,6115.00,35.00,33.0,,,,,,,,,,,,,,,
15:10:43,3:10:42 PM,13471.00,13472,1.0000,13476.0000,7.0000,13.00,6114.0000,6114.0000,13.00,6115.00,35.00,33.0,,,,,,,,,,,,,,,
15:10:41,3:10:41 PM,13471.00,13472,1.0000,13476.0000,7.0000,13.00,6114.0000,6114.0000,13.00,6115.00,35.00,33.0,,,,,,,,,,,,,,,
15:10:40,3:10:40 PM,13471.00,13472,1.0000,13476.0000,7.0000,13.00,6114.0000,6114.0000,13.00,6115.00,36.00,31.0,,,,,,,,,,,,,,,
15:10:39,3:10:39 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6114.0000,13.00,6115.00,41.00,44.0,,,,,,,,,,,,,,,
15:10:38,3:10:38 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6114.0000,2.00,6114.00,39.00,127.0,,,,,,,,,,,,,,,
15:10:37,3:10:37 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6114.0000,2.00,6114.00,39.00,127.0,,,,,,,,,,,,,,,
15:10:36,3:10:36 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6114.0000,2.00,6114.00,40.00,127.0,,,,,,,,,,,,,,,
15:10:35,3:10:35 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6114.0000,2.00,6114.00,40.00,127.0,,,,,,,,,,,,,,,
15:10:34,3:10:33 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6114.0000,2.00,6114.00,40.00,127.0,,,,,,,,,,,,,,,
15:10:33,3:10:33 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6114.0000,2.00,6114.00,40.00,127.0,,,,,,,,,,,,,,,
15:10:32,3:10:31 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6114.0000,2.00,6114.00,40.00,127.0,,,,,,,,,,,,,,,
15:10:31,3:10:31 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6114.0000,2.00,6114.00,40.00,127.0,,,,,,,,,,,,,,,
15:10:31,3:10:30 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6114.0000,2.00,6114.00,40.00,127.0,,,,,,,,,,,,,,,
15:10:29,3:10:28 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6114.0000,2.00,6114.00,38.00,128.0,,,,,,,,,,,,,,,
15:10:28,3:10:28 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6114.0000,2.00,6114.00,40.00,127.0,,,,,,,,,,,,,,,
15:10:27,3:10:27 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6114.0000,2.00,6114.00,40.00,127.0,,,,,,,,,,,,,,,
15:10:26,3:10:26 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6113.0000,22.00,6114.00,38.00,129.0,,,,,,,,,,,,,,,
15:10:25,3:10:25 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6113.0000,22.00,6114.00,37.00,128.0,,,,,,,,,,,,,,,
15:10:25,3:10:24 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6113.0000,22.00,6114.00,38.00,128.0,,,,,,,,,,,,,,,
15:10:23,3:10:22 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6113.0000,22.00,6114.00,38.00,128.0,,,,,,,,,,,,,,,
15:10:22,3:10:22 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6113.0000,22.00,6114.00,38.00,128.0,,,,,,,,,,,,,,,
15:10:21,3:10:21 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6113.0000,22.00,6114.00,38.00,129.0,,,,,,,,,,,,,,,
15:10:20,3:10:19 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6113.0000,22.00,6114.00,38.00,129.0,,,,,,,,,,,,,,,
15:10:19,3:10:19 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6113.0000,22.00,6114.00,38.00,129.0,,,,,,,,,,,,,,,
15:10:19,3:10:18 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6113.0000,22.00,6114.00,38.00,129.0,,,,,,,,,,,,,,,
15:10:17,3:10:17 PM,13470.00,13467,1.0000,13472.0000,8.0000,5.00,6113.0000,6113.0000,22.00,6114.00,39.00,129.0,,,,,,,,,,,,,,,
15:10:16,3:10:16 PM,13470.00,13467,1.0000,13472.0000,8.0000,7.00,6113.0000,6113.0000,22.00,6114.00,39.00,129.0,,,,,,,,,,,,,,,
15:10:15,3:10:15 PM,13468.00,13467,1.0000,13472.0000,5.0000,7.00,6113.0000,6113.0000,22.00,6114.00,31.00,130.0,,,,,,,,,,,,,,,
15:10:14,3:10:14 PM,13468.00,13467,1.0000,13472.0000,5.0000,7.00,6113.0000,6113.0000,18.00,6114.00,31.00,130.0,,,,,,,,,,,,,,,
15:10:13,3:10:13 PM,13468.00,13470,1.0000,13472.0000,3.0000,10.00,6112.0000,6113.0000,9.00,6113.00,35.00,129.0,,,,,,,,,,,,,,,
15:10:13,3:10:12 PM,13471.00,13478,1.0000,13476.0000,3.0000,13.00,6114.0000,6114.0000,1.00,6115.00,32.00,39.0,,,,,,,,,,,,,,,
15:10:11,3:10:11 PM,13471.00,13478,1.0000,13476.0000,3.0000,13.00,6114.0000,6114.0000,1.00,6115.00,32.00,39.0,,,,,,,,,,,,,,,
15:10:10,3:10:10 PM,13471.00,13478,1.0000,13476.0000,3.0000,12.00,6114.0000,6114.0000,2.00,6115.00,32.00,38.0,,,,,,,,,,,,,,,
